C0002395,ALZHEIMER DISEASE (Alzheimer's Disease),Disease or Syndrome,C0234387,Cerebral Disease (Cerebral disorder),Disease or Syndrome,  Alzheimer disease is a primary degenerative cerebral disease of unknown etiology with characteristic neuropathological and neurochemical features.
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C1868885,Uncontrolled High blood pressure (Uncontrolled arterial hypertension),Disease or Syndrome,Smoking Uncontrolled diabetes High blood pressure Drinking too much alcohol Having close family members who have dementia  What are the symptoms of dementia?
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,Smoking Uncontrolled diabetes High blood pressure Drinking too much alcohol Having close family members who have dementia  What are the symptoms of dementia?
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C1868885,Uncontrolled High blood pressure (Uncontrolled arterial hypertension),Disease or Syndrome,Smoking Uncontrolled diabetes High blood pressure Drinking too much alcohol Having close family members who have dementia  What are the symptoms of dementia?
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,Smoking Uncontrolled diabetes High blood pressure Drinking too much alcohol Having close family members who have dementia  What are the symptoms of dementia?
C1868885,Uncontrolled High blood pressure (Uncontrolled arterial hypertension),Disease or Syndrome,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,Smoking Uncontrolled diabetes High blood pressure Drinking too much alcohol Having close family members who have dementia  What are the symptoms of dementia?
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"The symptoms of dementia can vary, depending on which parts of the brain are affected."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"The symptoms of dementia can vary, depending on which parts of the brain are affected."
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"The symptoms of dementia can vary, depending on which parts of the brain are affected."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C1457887,Symptom (Symptoms),Sign or Symptom,"Often, forgetfulness is the first symptom."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0542476,FORGETFULNESS (Forgetful),Sign or Symptom,"Often, forgetfulness is the first symptom."
C1457887,Symptom (Symptoms),Sign or Symptom,C0542476,FORGETFULNESS (Forgetful),Sign or Symptom,"Often, forgetfulness is the first symptom."
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Dementia also causes problems with the ability to think, problem solve, and reason."
C0580836,Old [Temporal Concept],Temporal Concept,C0598853,forget (forgetting),Mental or Behavioral Dysfunction,"For example, people with dementia may  Get lost in a familiar neighborhood Use unusual words to refer to familiar objects Forget the name of a close family member or friend Forget old memories Need help doing tasks that they used to do by themselves  Some people with dementia cannot control their emotions and their personalities may change."
C0580836,Old [Temporal Concept],Temporal Concept,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"For example, people with dementia may  Get lost in a familiar neighborhood Use unusual words to refer to familiar objects Forget the name of a close family member or friend Forget old memories Need help doing tasks that they used to do by themselves  Some people with dementia cannot control their emotions and their personalities may change."
C0580836,Old [Temporal Concept],Temporal Concept,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"For example, people with dementia may  Get lost in a familiar neighborhood Use unusual words to refer to familiar objects Forget the name of a close family member or friend Forget old memories Need help doing tasks that they used to do by themselves  Some people with dementia cannot control their emotions and their personalities may change."
C0598853,forget (forgetting),Mental or Behavioral Dysfunction,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"For example, people with dementia may  Get lost in a familiar neighborhood Use unusual words to refer to familiar objects Forget the name of a close family member or friend Forget old memories Need help doing tasks that they used to do by themselves  Some people with dementia cannot control their emotions and their personalities may change."
C0598853,forget (forgetting),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"For example, people with dementia may  Get lost in a familiar neighborhood Use unusual words to refer to familiar objects Forget the name of a close family member or friend Forget old memories Need help doing tasks that they used to do by themselves  Some people with dementia cannot control their emotions and their personalities may change."
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"For example, people with dementia may  Get lost in a familiar neighborhood Use unusual words to refer to familiar objects Forget the name of a close family member or friend Forget old memories Need help doing tasks that they used to do by themselves  Some people with dementia cannot control their emotions and their personalities may change."
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0575090,Problem with balance (Equilibration disorder),Sign or Symptom,Certain types of dementia can also cause problems with balance and movement.
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,Certain types of dementia can also cause problems with balance and movement.
C0575090,Problem with balance (Equilibration disorder),Sign or Symptom,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,Certain types of dementia can also cause problems with balance and movement.
C1306673,Stages (Stage) [Temporal Concept],Temporal Concept,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,The stages of dementia range from mild to severe.
C1306673,Stages (Stage) [Temporal Concept],Temporal Concept,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,The stages of dementia range from mild to severe.
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,The stages of dementia range from mild to severe.
C0439659,Beginning [Temporal Concept],Temporal Concept,C1306673,Stage [Temporal Concept],Temporal Concept,"In the mildest stage, it is just beginning to affect a person's functioning."
C0439659,Beginning [Temporal Concept],Temporal Concept,C0205390,Stage (Phase) [Temporal Concept],Temporal Concept,"In the mildest stage, it is just beginning to affect a person's functioning."
C1306673,Stage [Temporal Concept],Temporal Concept,C0205390,Stage (Phase) [Temporal Concept],Temporal Concept,"In the mildest stage, it is just beginning to affect a person's functioning."
C1306673,Stage [Temporal Concept],Temporal Concept,C0205390,Stage (Phase) [Temporal Concept],Temporal Concept,"In the most severe stage, the person is completely dependent on others for care."
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,How is dementia diagnosed?
C0033975,mental disorder (Psychotic Disorders),Mental or Behavioral Dysfunction,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"To make a diagnosis, your health care provider  Will ask about your medical history Will do a physical exam Will check your thinking, memory, and language abilities May do tests, such as blood tests, genetic tests, and brain scans May do a mental health evaluation to see whether a mental disorder is contributing to your symptoms  What are the treatments for dementia?"
C0033975,mental disorder (Psychotic Disorders),Mental or Behavioral Dysfunction,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"To make a diagnosis, your health care provider  Will ask about your medical history Will do a physical exam Will check your thinking, memory, and language abilities May do tests, such as blood tests, genetic tests, and brain scans May do a mental health evaluation to see whether a mental disorder is contributing to your symptoms  What are the treatments for dementia?"
C0033975,mental disorder (Psychotic Disorders),Mental or Behavioral Dysfunction,C3812381,May (Month of May) [Temporal Concept],Temporal Concept,"To make a diagnosis, your health care provider  Will ask about your medical history Will do a physical exam Will check your thinking, memory, and language abilities May do tests, such as blood tests, genetic tests, and brain scans May do a mental health evaluation to see whether a mental disorder is contributing to your symptoms  What are the treatments for dementia?"
C0033975,mental disorder (Psychotic Disorders),Mental or Behavioral Dysfunction,C0004936,Mental Disorder (Mental disorders),Mental or Behavioral Dysfunction,"To make a diagnosis, your health care provider  Will ask about your medical history Will do a physical exam Will check your thinking, memory, and language abilities May do tests, such as blood tests, genetic tests, and brain scans May do a mental health evaluation to see whether a mental disorder is contributing to your symptoms  What are the treatments for dementia?"
C0033975,mental disorder (Psychotic Disorders),Mental or Behavioral Dysfunction,C4722276,ASK (Anaplastic Sarcoma of the Kidney),Neoplastic Process,"To make a diagnosis, your health care provider  Will ask about your medical history Will do a physical exam Will check your thinking, memory, and language abilities May do tests, such as blood tests, genetic tests, and brain scans May do a mental health evaluation to see whether a mental disorder is contributing to your symptoms  What are the treatments for dementia?"
C0033975,mental disorder (Psychotic Disorders),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"To make a diagnosis, your health care provider  Will ask about your medical history Will do a physical exam Will check your thinking, memory, and language abilities May do tests, such as blood tests, genetic tests, and brain scans May do a mental health evaluation to see whether a mental disorder is contributing to your symptoms  What are the treatments for dementia?"
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"To make a diagnosis, your health care provider  Will ask about your medical history Will do a physical exam Will check your thinking, memory, and language abilities May do tests, such as blood tests, genetic tests, and brain scans May do a mental health evaluation to see whether a mental disorder is contributing to your symptoms  What are the treatments for dementia?"
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C3812381,May (Month of May) [Temporal Concept],Temporal Concept,"To make a diagnosis, your health care provider  Will ask about your medical history Will do a physical exam Will check your thinking, memory, and language abilities May do tests, such as blood tests, genetic tests, and brain scans May do a mental health evaluation to see whether a mental disorder is contributing to your symptoms  What are the treatments for dementia?"
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0004936,Mental Disorder (Mental disorders),Mental or Behavioral Dysfunction,"To make a diagnosis, your health care provider  Will ask about your medical history Will do a physical exam Will check your thinking, memory, and language abilities May do tests, such as blood tests, genetic tests, and brain scans May do a mental health evaluation to see whether a mental disorder is contributing to your symptoms  What are the treatments for dementia?"
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C4722276,ASK (Anaplastic Sarcoma of the Kidney),Neoplastic Process,"To make a diagnosis, your health care provider  Will ask about your medical history Will do a physical exam Will check your thinking, memory, and language abilities May do tests, such as blood tests, genetic tests, and brain scans May do a mental health evaluation to see whether a mental disorder is contributing to your symptoms  What are the treatments for dementia?"
