C0332239,Young [Temporal Concept],Temporal Concept,C0580836,Old [Temporal Concept],Temporal Concept,"It occurs most commonly inadolescent girls and young women, but adolescent boys andyoung men may also be affected, as may children approachingpuberty and older women up to the menopause."
C0027765,Nerve Disorder (nervous system disorder),Disease or Syndrome,C0024115,"Disease, Lung (Lung diseases)",Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0027765,Nerve Disorder (nervous system disorder),Disease or Syndrome,C1998882,Sometimes [Temporal Concept],Temporal Concept,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0027765,Nerve Disorder (nervous system disorder),Disease or Syndrome,C0746845,nerve Disorder (nerve condition),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0027765,Nerve Disorder (nervous system disorder),Disease or Syndrome,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0018799,"HEART DISEASE, NOS (Heart Diseases)",Disease or Syndrome,C0024115,"Disease, Lung (Lung diseases)",Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0018799,"HEART DISEASE, NOS (Heart Diseases)",Disease or Syndrome,C1998882,Sometimes [Temporal Concept],Temporal Concept,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0018799,"HEART DISEASE, NOS (Heart Diseases)",Disease or Syndrome,C0746845,nerve Disorder (nerve condition),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0018799,"HEART DISEASE, NOS (Heart Diseases)",Disease or Syndrome,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0024115,"Disease, Lung (Lung diseases)",Disease or Syndrome,C1998882,Sometimes [Temporal Concept],Temporal Concept,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0024115,"Disease, Lung (Lung diseases)",Disease or Syndrome,C0746845,nerve Disorder (nerve condition),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0024115,"Disease, Lung (Lung diseases)",Disease or Syndrome,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C1998882,Sometimes [Temporal Concept],Temporal Concept,C0746845,nerve Disorder (nerve condition),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C1998882,Sometimes [Temporal Concept],Temporal Concept,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0746845,nerve Disorder (nerve condition),Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C1660631,night shift [Temporal Concept],Temporal Concept,C0236734,caffeine (Caffeine related disorders),Mental or Behavioral Dysfunction,"There are also some factors that can contribute to sleep problems, including  Caffeine and alcohol An irregular schedule, such as working the night shift Aging."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,"As people age, they often get less sleep or spend less time in the deep, restful stage of sleep."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0205390,Stage (Phase) [Temporal Concept],Temporal Concept,"As people age, they often get less sleep or spend less time in the deep, restful stage of sleep."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C1306673,Stage [Temporal Concept],Temporal Concept,"As people age, they often get less sleep or spend less time in the deep, restful stage of sleep."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0040223,TIME (Time) [Temporal Concept],Temporal Concept,"As people age, they often get less sleep or spend less time in the deep, restful stage of sleep."
C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,C0205390,Stage (Phase) [Temporal Concept],Temporal Concept,"As people age, they often get less sleep or spend less time in the deep, restful stage of sleep."
C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,C1306673,Stage [Temporal Concept],Temporal Concept,"As people age, they often get less sleep or spend less time in the deep, restful stage of sleep."
C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,C0040223,TIME (Time) [Temporal Concept],Temporal Concept,"As people age, they often get less sleep or spend less time in the deep, restful stage of sleep."
C0205390,Stage (Phase) [Temporal Concept],Temporal Concept,C1306673,Stage [Temporal Concept],Temporal Concept,"As people age, they often get less sleep or spend less time in the deep, restful stage of sleep."
C0205390,Stage (Phase) [Temporal Concept],Temporal Concept,C0040223,TIME (Time) [Temporal Concept],Temporal Concept,"As people age, they often get less sleep or spend less time in the deep, restful stage of sleep."
C1306673,Stage [Temporal Concept],Temporal Concept,C0040223,TIME (Time) [Temporal Concept],Temporal Concept,"As people age, they often get less sleep or spend less time in the deep, restful stage of sleep."
C0851578,SLEEP DISORDERS (Sleep Disorders),Mental or Behavioral Dysfunction,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,What are the symptoms of sleep disorders?
C0012634,Disorder (Disease),Disease or Syndrome,C0851578,SLEEP DISORDERS (Sleep Disorders),Mental or Behavioral Dysfunction,The symptoms of sleep disorders depend on the specific disorder.
C0012634,Disorder (Disease),Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,The symptoms of sleep disorders depend on the specific disorder.
C0851578,SLEEP DISORDERS (Sleep Disorders),Mental or Behavioral Dysfunction,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,The symptoms of sleep disorders depend on the specific disorder.
C0851578,SLEEP DISORDER (Sleep Disorders),Mental or Behavioral Dysfunction,N C0851578,SLEEP DISORDERS (Sleep Disorders),Mental or Behavioral Dysfunction,"Some signs that you may have a sleep disorder include that  You regularly take more than 30 minutes each night to fall asleep You regularly wake up several times each night and then have trouble falling back to sleep, or you wake up too early in the morning You often feel sleepy during the day, take frequent naps, or fall asleep at the wrong times during the day Your bed partner says that when you sleep, you snore loudly, snort, gasp, make choking sounds, or stop breathing for short periods You have creeping, tingling, or crawling feelings in your legs or arms that are relieved by moving or massaging them, especially in the evening and when trying to fall asleep Your bed partner notices that your legs or arms jerk often during sleep You have vivid, dreamlike experiences while falling asleep or dozing You have episodes of sudden muscle weakness when you are angry or fearful, or when you laugh You feel as though you cannot move when you first wake up  How are sleep disorders diagnosed?"
